GeneID	CON_1	GFP_1	CON_2	GFP_2	CON_3	GFP_3
0610005C13Rik	61	5	28	0	13	0
0610006L08Rik	13	0	4	0	63	0
0610007P14Rik	1010	310	1589	184	962	0
0610009B22Rik	834	318	826	128	2130	0
0610009E02Rik	17	8	8	4	0	0
0610009L18Rik	64	11	101	41	0	0
0610009O20Rik	163	19	355	3078	177	700
0610010F05Rik	1116	354	2049	13908	6	3324
0610010K14Rik	7	0	29	3	0	0
0610012D04Rik	1	0	0	4	0	0
0610012G03Rik	1765	234	2491	472	4681	1
0610025J13Rik	3	0	0	0	0	0
0610030E20Rik	218	94	317	111	17	0
0610031O16Rik	5	1	0	0	0	0
0610033M10Rik	16	32	25	33	810	0
0610037L13Rik	1622	944	2599	758	2339	2
0610038B21Rik	11	1	0	1	0	0
0610039K10Rik	7	0	3	7	0	0
0610040B10Rik	114	31	216	79	2	0
0610040F04Rik	32	0	0	7	65	1
0610040J01Rik	43	1	157	17	10	0
0610043K17Rik	8	0	0	0	0	0
1010001B22Rik	9	1	43	6	0	0
1010001N08Rik	14	7	2	15	12	0
1110002E22Rik	42	7	27	7	1	1
1110002J07Rik	33	1	0	2	0	0
1110002L01Rik	59	21	71	14	535	0
1110002O04Rik	32	3	0	0	12	0
1110003F10Rik	23	7	2	18	1	0
1110004E09Rik	636	160	950	275	684	0
1110004F10Rik	3230	1006	5489	4064	6934	922
1110006O24Rik	25	0	38	4	0	0
1110008E08Rik	1	0	0	0	0	0
1110008F13Rik	661	96	770	111	550	0
1110008L16Rik	167	11	421	103	0	0
1110008P14Rik	1346	310	2095	3963	5663	1004
1110012L19Rik	739	251	1091	160	0	0
1110015O18Rik	1	3	0	0	0	0
1110017D15Rik	45	8	63	35	5	0
1110018N20Rik	139	34	101	27	0	0
1110019D14Rik	32	61	64	5	0	0
1110020A21Rik	19	68	45	30	0	0
1110025L11Rik	5	27	0	3	0	0
1110025M09Rik	11	5	1	1	0	0
1110028F11Rik	11	0	2	0	0	0
1110028F18Rik	59	2	25	1	0	0
1110032A03Rik	970	474	1294	292	2116	3
1110032F04Rik	213	1	534	36	1591	0
1110034G24Rik	383	35	545	35	1229	0
1110035H17Rik	32	2	0	6	0	0
1110036E04Rik	9	2	0	0	0	0
1110037F02Rik	528	115	742	145	1	11
1110038B12Rik	478	2356	527	832	2829	0
1110038F14Rik	530	42	701	137	0	0
1110046J04Rik	657	231	598	250	2907	0
1110051M20Rik	1673	290	2616	317	171	0
1110057P08Rik	0	0	0	0	0	0
1110059E24Rik	1449	527	1925	538	1710	0
1110059G10Rik	627	178	458	193	1309	0
1110060G06Rik	1	0	0	0	0	0
1110065P20Rik	166	38	361	70	416	0
1190002N15Rik	178	32	390	33	1	0
1190003K10Rik	2	0	0	0	0	0
1190005I06Rik	19	2	43	2	0	0
1190007I07Rik	45	26	86	30	0	0
1190028D05Rik	11	0	0	0	0	0
1200007C13Rik	27	0	6	10	0	0
1300002E11Rik	487	139	656	155	642	12
1300017J02Rik	33	32	0	29	25	0
1500002C15Rik	62	0	71	13	5	0
1500002F19Rik	26	1	11	3	0	0
1500004A13Rik	351	119	144	100	267	2
1500005C15Rik	6	2	0	1	10	0
1500009C09Rik	9	0	20	0	0	0
1500009L16Rik	394	15	448	120	0	0
1500011B03Rik	2237	594	2200	874	10226	5
1500011K16Rik	735	269	1262	272	3654	1
1500012K07Rik	90	31	63	3	245	0
1500015A07Rik	194	78	83	164	258	0
1500015L24Rik	0	0	1	1	0	0
1500015O10Rik	1	1	32	2	7	0
1500017E21Rik	18	1	3	6	0	0
1500026H17Rik	45	56	23	9	0	0
1500035N22Rik	4	0	0	9	0	0
1520401A03Rik	129	22	33	31	26	0
1600002D24Rik	16	13	1	10	2	0
1600002H07Rik	174	97	408	185	0	0
1600002K03Rik	318	194	360	371	447	0
1600010M07Rik	5	0	2	0	0	0
1600012H06Rik	941	223	2054	583	11	1
1600012P17Rik	28	0	0	0	0	0
1600014C10Rik	464	52	785	109	968	7
1600014C23Rik	1	1	0	3	0	0
1600015I10Rik	4	1	10	12	0	0
1600017P15Rik	7	5	10	0	54	0
1600019K03Rik	6	17	0	8	0	0
1600020E01Rik	540	2184	1956	3034	1462	11
1600023N17Rik	14	37	2	29	0	0
1600025M17Rik	2	0	0	0	0	0
1600027J07Rik	2	2	0	0	1	0
1600029O15Rik	36	3	4	11	41	0
1700001C02Rik	9	0	0	0	1	0
1700001C19Rik	14	0	0	0	6	0
1700001D01Rik	2	2	0	2	0	0
1700001F09Rik	0	0	0	0	0	0
1700001G01Rik	21	3	0	0	0	0
1700001G11Rik	22	1	5	1	0	0
1700001G17Rik	1	0	12	0	0	0
1700001J03Rik	18	4	7	5	0	0
1700001J04Rik	11	0	0	0	0	0
1700001J11Rik	16	0	8	0	10	0
1700001K19Rik	12	1	14	4	0	0
1700001L05Rik	59	32	132	7440	15	1722
1700001L19Rik	55	17	41	29	0	0
1700001N15Rik	6	0	0	0	0	0
1700001O22Rik	28	8	129	26	0	0
1700001P01Rik	16	71	4	48	0	0
1700003C15Rik	0	0	0	0	0	0
1700003D09Rik	1	0	0	1	0	0
1700003E16Rik	171	18	223	56	4	0
1700003E24Rik	2	5	0	3	0	0
1700003F12Rik	6	2	15	4	0	0
1700003G13Rik	3	0	0	0	0	0
1700003G18Rik	134	25	74	3	0	0
1700003H04Rik	8	0	0	0	0	0
1700003I16Rik	10	1	0	0	0	0
1700003I22Rik	5	0	0	0	0	0
1700003L19Rik	3	0	0	0	0	0
1700003M07Rik	12	0	8	16	0	0
1700003N22Rik	30	8	89	2	0	0
1700003P14Rik	2	0	0	0	0	0
1700006A11Rik	7	1	0	0	1	0
1700006E09Rik	2	0	0	13	0	0
1700006F04Rik	1	0	0	0	0	0
1700006H21Rik	4	0	18	0	0	0
1700006J14Rik	7	0	0	0	0	0
1700006P03Rik	0	0	0	0	0	0
1700007B14Rik	11	1	11	4	1	5
1700007E05Rik	7	41	9	96	105	6
1700007F19Rik	1	0	0	0	0	0
1700007G11Rik	63	33	140	58	540	0
1700007J10Rik	6	1	3	8	25	0
1700007K09Rik	2	0	0	0	0	0
1700007K13Rik	281	119	375	171	1	0
1700007L15Rik	52	17	89	16	0	0
1700007M16Rik	8	1	0	0	0	0
1700007P06Rik	0	0	0	0	0	0
1700008A23Rik	6	0	0	0	0	0
1700008B11Rik	7	0	0	0	0	0
1700008H02Rik	39	2	2	0	0	0
1700008J07Rik	47	5	55	7	2	0
1700008K24Rik	9	0	0	0	12	0
1700008N11Rik	0	0	0	1	3	0
1700008O03Rik	14	0	3	4	0	0
1700008P02Rik	1	0	0	1	0	0
1700009C05Rik	3	0	0	0	12	0
1700009J07Rik	3	2	0	0	0	0
1700009N14Rik	1	0	0	0	0	0
1700010B08Rik	1	0	0	0	0	0
1700010B13Rik	3	0	17	1	0	0
1700010D01Rik	9	18	0	0	0	0
1700010H22Rik	4	6	7	0	0	0
